,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.8507462686567164,0.7283870967741936,0.5871034841393655,0.6501583645263461,0.9038340295171919
random_forest,0.8508691112339537,0.7170851194121249,0.608944357774311,0.6586051743532059,0.8994781809768572
fair_demographic_parity,0.8468153061851238,0.7319835277968428,0.5546021840873635,0.6310650887573964,
fair_equalized_odds,0.8415944966525398,0.6957059005251777,0.5855434217368695,0.6358887477057744,
