,demographic_parity_difference,equalized_odds_difference
logistic_regression,0.1448203804115466,0.10346199808511503
random_forest,0.11327693713904327,0.0497876643073812
fair_demographic_parity,0.016593961719197386,0.12987125605528932
fair_equalized_odds,0.07157535180697044,0.019006291427929436
